id,effectV2,effectV1
4741,Next weapon to wound target is soon confiscated by demons, Target ages 1 year every time heâ€™s hit by a spell-like effect
4742,Next weapon to wound target is thereafter +1 tohit him, Target ages 1 year for each round spent in direct sunlight
4743,Next weapon to wound target is thereafter +4 ToHit him, Target ages 1000 years over the course of the next turn
4744,Next weapon to wound target is thereafter indestructible, Target ages at 10X normal rate while at full hit points
4745,Next weapon to wound target is thereafter terribly afraid of him, Target ages halfway to his maximum life expectancy
4746,Next weapon to wound target leaps 1d100 rounds into the future, Target ages one year for every Hit Point he loses
4747,Next weapon to wound target likewise wounds his attacker, Target always answers yes-or-no questions truthfully
4748,Next weapon to wound target makes him suffer apocalyptic visions, Target always appears to lie when checked by Detect Lie
4749,Next weapon to wound target must Save or melt like a candle, Target always appears to speak truth when checked by Detect Lie
4750,Next weapon to wound target must Save or shrink by 5d10 + 45%, Target always assumes people will react positively to him
4751,Next weapon to wound target penalizes its wielder's AC by 5, Target always fails all Saving Throws till rolling a natural 1
4752,Next weapon to wound target turns out to be a mighty artifact, Target always feels like he is being watched
4753,Next weapon to wound target turns to stone, Target always has Initiative except on a 1: when heâ€™s last
4754,Next weapon to wound target vanishes for 1d10 rounds, Target always loses Initiative except on a 10: when heâ€™s first
4755,Next weapon to wound target was forged from his own bones, Target always makes all Saving Throws till rolling a natural 1
4756,Next weapon to wound target was forged on a distant world, Target always screws up when precise timing is needed
4757,No one speaks to target for 2d4-1 days, Target always tells truth; lies and prevarications impossible
4758,No one speaks to target until he spills his own blood, Target and allies all randomly exchange places
4759,Non-magical animals react to the target as if he were a salt lick, Target and allies are teleported d6 miles in random direction
4760,Non-magical animals react to the target as if he were food, Target and allies are Turned as Undead for d6 rounds each
4761,Non-magical animals react to the target as if he were one of them, Target and allies cannot harm caster or allies for d4 rounds
4762,Non-magical animals react to the target as if he were undead, Target and allies lose Â½ their hit points
4763,Normal voices seem deafeningly loud to the target, Target and allies regain Â½ their hit points lost
4764,Normal voices seem ghostly and haunting to the target, Target and ally swap personae; ally thinks he is the target
4765,Normal voices seem to echo imperiously to the target, Target and alternate Prime Material counterpart exchange places
4766,Normal voices seem to resonate in the target's bones, Target and caster exchange eyes
4767,On target's back is a button that: if pushed: lights up his head, Target and familiar exchange places
4768,On target's back is a button that: if pushed: makes him giggle, Target and familiar exchange species
4769,On target's back is a button that: if pushed: makes him glow blue, Target and his entire family are stricken sterile
4770,On target's back is a button that: if pushed: makes him sweat, Target and his possessions are sheathed in aluminum foil
4771,Once per day: target can make a sound like a cannon, Target and nearest eagle exchange places
4772,Once per day: target can turn all wheels nearby invisible, Target and nearest earth elemental exchange places
4773,One of target's allies thinks that target is an avatar of his god, Target and nearest entombed corpse exchange places
4774,One of target's arms becomes as supple as rope during combat, Target and nearest Lich exchange places
4775,One of target's arms can bend in 1d4 additional places, Target and nearest merman exchange places
4776,One of target's arms is as durable as steel: but only when wet, Target and nearest mummy exchange clothing
4777,One of target's arms is bent like a corkscrew, Target and nearest person of Noble status exchange places
4778,One of target's arms is bent like a shepherd's crook, Target and nearest sacrificial virgin exchange places
4779,One of target's arms is replaced by a duplicate of his head, Target and nearest statue exchange places
4780,One of target's arms is stripped to the bone but works normally, Target and nearest trapped genie exchange places
4781,One of target's arms loses all bone but functions like a tentacle, Target and nearest tree exchange reflections
4782,One of target's arms turns into a small replica of his leg, Target and nearest vampire exchange places at dawn tomorrow
4783,One of target's arms turns to a lion's foreleg, Target and random ally exchange heads but retain personalities
4784,One of target's eyes migrates to the back of his head, Target announces his presence before entering a dark room
4785,One of target's feet is fused into an anvil, Target answers every question twice
4786,One of target's feet rotates 180Â° at the ankle, Target answers questions by starting â€œBack in my day...â€
4787,One of target's hands appears to have been flattened by a hammer, Target apologizes to everyone he injures
4788,One of target's hands becomes hideously contorted and deformed, Target appears as beautiful as a nymph while he sleeps
4789,One of target's hands can pass through solid steel, Target appears as member of the same race as whoever views him
4790,One of target's hands can pass through stone, Target appears deformed or hideously ugly in sunlight
4791,One of target's hands can't be cut by non-magical metal, Target appears horribly repulsive when heâ€™s struck by magic
4792,One of target's hands dissolves in water like a sand castle, Target appears menacing and aggressive for 1d10 rounds
4793,One of target's hands figures prominently in the apocalypse, Target appears obese when seen in profile
4794,One of target's hands glows brightly in the presence of magic , Target appears painfully beautiful when heâ€™s struck by magic
4795,One of target's hands is fireproof: but he never knows which one, Target appears paper-thin while asleep
4796,One of target's hands is fireproof; the other hand vanishes, Target appears slightly blurry whenever heâ€™s hit by magic
4797,One of target's hands is immune to bludgeoning weapons, Target appears to be a wooden statue while sleeping
4798,One of target's hands is impervious to beam-based magic spells, Target appears to be afflicted with some infectious disease
4799,One of target's hands is impervious to magical cold, Target appears to be black and white
4800,One of target's hands is invisible to undead, Target appears to be invisible when seen head-on
4801,One of target's hands is shaped like an orangutan's hand, Target appears to be levitating upside down
4802,One of target's hands migrates to the top of his head, Target appears to be made of glass while he sleeps
4803,One of target's hands oozes a viscous liquid like sap, Target appears to be made of rock and mud while sleeping
4804,One of target's hands shines like a beacon if clenched in a fist, Target appears to be naked while fully clothed and vice versa
4805,One of target's hands turns into a hoof, Target appears to be of opposite gender when naked
4806,One of target's hands turns into a perfect cube of granite, Target appears to be standing beside himself
4807,One of target's hands turns into a replica of a rabbit's head, Target appears to be standing three feet to his right
4808,One of target's hands turns into sponge, Target appears to be the worst enemy of anyone viewing him
4809,One of target's hands: when clenched: looks like a small head, Target appears to blaze like a bonfire when heâ€™s hit by magic
4810,One of target's legs and one of his arms become as clear as glass, Target appears to burst into flame but is Invisible (improved)
4811,One of target's legs and one of his arms seem to be made of wood, Target appears to decay rapidly in his sleep
4812,One of target's legs and one of his arms shrink by 50%, Target appears to explode whenever he speaks his name
4813,One of target's legs and one of his arms turn invisible, Target appears to lack all blood and soft tissue when naked
4814,One of target's limbs acquires intelligence hostile to him, Target appears twenty pounds heavier than he actually is
4815,One of target's limbs always seems to be soaked with milk, Target appears twenty pounds lighter than he actually is
4816,One of target's limbs appears to be made of diamond, Target appears unspeakably beautiful while he sleeps
4817,One of target's limbs becomes wildly disobedient during combat, Target appears: with knife in hand: behind the nearest king
4818,One of target's limbs can appear identical to his other limbs, Target assumes the aircraft â€œcrash positionâ€
4819,One of target's limbs can be Dispelled as an illusion, Target attacks himself with his own weapon for 1d10 rounds
4820,One of target's limbs can never be rendered invisible, Target attracts all Undead within 1 mile of him
4821,One of target's limbs can't be armored in combat, Target attracts lightning and electricity (Save at Â½)
4822,One of target's limbs develops an intense hatred for the others, Target attracts maggots: lice: and rot grubs
4823,One of target's limbs falls off and tries to escape, Target attracts moths like a flame
4824,One of target's limbs glows bright blue in the dark, Target attracts moths like a flame whenever he speaks
4825,One of target's limbs is affected as by the spell Slow, Target attracts the attention of a random tanarâ€™ri
4826,One of target's limbs is as hard as steel during combat, Target attracts the attention of the nearest Great Wyrm
4827,One of target's limbs is clearly artificial, Target attracts vermin
4828,One of target's limbs is controlled by caster for 1d10 rounds, Target automatically absorbs equal damage from any he damages
4829,One of target's limbs is covered in feathers, Target automatically disbelieves illusions for next d100 days
4830,One of target's limbs is entirely indestructible, Target automatically fails his next d10 Saving Throws
4831,One of target's limbs is impervious to blades during combat, Target automatically fails his next d6 Saving Throws
4832,One of target's limbs is impervious to polymorph magic, Target automatically inflicts equal damage on any harming him
4833,One of target's limbs is made of porcelain but functions normally, Target automatically knows the first name of everyone he meets
4834,One of target's limbs is paralyzed for 1d6 days, Target automatically passes his next d6 Saving Throws
4835,One of target's limbs is replaced by a hideous tentacle, Target automatically succeeds his next d10 Saving Throws
4836,One of target's limbs is responsible for genocide, Target automatically takes double damage from physical attacks
4837,One of target's limbs is wanted for murder, Target barks like a dog but thinks heâ€™s speaking normally
4838,One of target's limbs now juts from the center of his back, Target barks like a dog in the presence of royalty
4839,One of target's limbs regenerates in 1d4 rounds if severed, Target bears scars as though once riddled by gunfire
4840,One of target's limbs retracts into his torso when not in use, Target bears scars of unspeakable torture
4841,One of target's limbs seems to belong to a different species, Target becomes a lightning rod for 1d20 days
4842,One of target's limbs shrinks by 1d4% per day, Target becomes a missile attractor: as shield
4843,One of target's limbs suffers intense pain if he uses magic, Target becomes a Thought Broadcaster for spellâ€™s duration
4844,One of target's limbs turns as green as grass, Target becomes a turkey under every Full Moon
4845,One of target's limbs turns to a tree limb, Target becomes able to communicate with Earth Elementals
4846,One of target's limbs turns to solid gold, Target becomes actively suicidal; seeks his death at any cost
4847,One or more of target's allies is plotting to kill him, Target becomes afflicted with Mummy Rot
4848,One or more of target's allies thinks that target is a traitor, Target becomes aluminum; is lightweight but immobile
4849,Ordinary water has a powerful emetic effect upon the target, Target becomes an ambulatory oak of same size: shape and AC
4850,Ordinary water induces aggressive incontinence in the target, Target becomes an Illusion: unable to cause harm
4851,Ordinary water is as intoxicating to target as distilled spirits, Target becomes bonded with a tree like a dryad
4852,Ordinary water is incredibly impressive to the target, Target becomes casterâ€™s personal slave for d4 days
4853 people often mistake the target for a hated enemy,, Target becomes dormant under both a full and a new moon
4854 people often mistake the target for a statue of the caster,, Target becomes extraordinarily stingy with his money
4855 people often mistake the target for an undead monstrosity,, Target becomes fascinated by symbols of death
4856 people often mistake the target for someone who gives a damn,, Target becomes flat like parchment while he sleeps
4857 people who meet target for the first time accuse him of drowning,, Target becomes flatulent in the presence of royalty
4858 people who meet target for the first time accuse him of treason,, Target becomes forgetful; must pass INT checks or castings fail
4859 people who meet target for the first time are intimidated by him,, Target becomes homesick for some place heâ€™s never been
4860 people who meet target for the first time are intimidating to him,, Target becomes hot-tempered in the presence of fire
4861 people who meet target for the first time become violently ill,, Target becomes immune to a random attack form
4862 people who meet target for the first time feel insulted by him,, Target becomes immune to Level Draining
4863 people who meet target for the first time ignore him if he speaks,, Target becomes immune to natural diseases
4864 people who meet target for the first time laugh at him derisively,, Target becomes immune to the effects of cold for d10 days
4865 people who meet target for the first time lose 1d4 gold pieces,, Target becomes immune to the effects of cold for d10 days
4866 people who meet target for the first time mistake him for royalty,, Target becomes inebriated
4867 people who meet target for the first time mock his fashion sense,, Target becomes inhumanly beautiful when angry
4868 people who meet target for the first time point at him and laugh,, Target becomes intensely afraid of snow
4869 people who meet target for the first time promptly forget him,, Target becomes intensely weight-conscious
4870 people who meet target for the first time refuse to speak to him,, Target becomes invisible to avians
4871 people who meet target for the first time tend to trust him,, Target becomes invisible to golems
4872 people who meet target for the first time think he's a corpse,, Target becomes invisible when reduced to 50% of his hit points
4873 people who meet target for the first time think he's a murderer,, Target becomes invisible; only his reflection can be seen
4874 people who meet target for the first time think he's a thief,, Target becomes jealous of anyone taller than he is
4875 people who meet target for the first time think he's mocking them,, Target becomes lost at crossroads unless directed by someone
4876 people who meet target for the first time think he's on fire,, Target becomes magic-obsessed; uses magic whenever possible
4877 people who meet target for the first time think he's stupid,, Target becomes magnetized; attracts all iron with d20 feet
4878 people who meet target for the first time think that he's a demon,, Target becomes morbidly fascinated with his own death
4879 people who meet target for the first time think that he's hideous,, Target becomes mute for d12 turns
4880 people who meet target for the first time threaten to kill him,, Target becomes nostalgic for the distant future
4881,Phosphorescent beetles teem over target's skin for 2d12 hours, Target becomes permanently invisible; clothing he wears is not
4882,Printed text appears hopelessly garbled while target is nearby, Target becomes ravenously hungry after being struck by magic
4883,Rope hisses like a snake while target uses it, Target becomes ravenously hungry and must eat or pass out
4884,Rope tends to become hopelessly tangled when target uses it, Target becomes ravenously hungry when heâ€™s wounded
4885,Seltzer water sprays from the target's nose for 1d10 rounds, Target becomes striped like a candy cane
4886,Shimmering lights play over the target's skin during combat, Target becomes striped like a zebra
4887,Smoke issues from the ground near the target when he's angry, Target becomes stupendously incontinent
4888,Smoke makes the target think that he's being suffocated, Target becomes suspicious of anyone offering food to him
4889,Smoke pours from target's eyes when he uses or is struck by magic, Target becomes translucent for d4 hours (remains solid)
4890,Smoke pours from target's skin as though his bones are ablaze, Target becomes transparent like glass
4891,Some common non-magical species adopts the target as its enemy, Target becomes transparent like water: rippling as he moves
4892,Some common non-magical species is forever invisible to target, Target becomes unable to see any living or undead creature
4893,Some distant creature has been hired to assassinate the target, Target becomes uncertain; must pass WIS checks or castings fail
4894,Something from the bottom of a nearby lake attacks the target, Target becomes Undead (if Undead: targetâ€™s life is restored)
4895,Sparks fly from target's ears as from a grindstone, Target becomes very aware of timeâ€™s passage and is bored stiff
4896,Sparks fly from target's eyes when he draws a weapon, Target becomes violently ill if he consumes alcohol
4897,Sparks fly from target's fingertips when he's angry, Target begins remembering things that never actually happened
4898,Sparks fly from target's nostrils as he speaks, Target begins tap-dancing loudly whenever stealth is required
4899,Spectral voices echo everything that the target says, Target begins to age at a rate of one year per minute
4900,Suddenly 1d4 people appear and attack the target, Target begins to horde water for no apparent reason
4901,Suddenly 1d4 people appear and offer trinkets to the target, Target begins to look more and more like a leper
4902,Suddenly 1d4 people appear and try to lasso the target, Target begins to wonder aloud what human flesh tastes like
4903,Suddenly 1d4 people appear and worship the target, Target believes all of his allies to be doppelgangers
4904,Suddenly 1d4 people nearby resemble the target, Target believes allies to be extensions of himself
4905,Suddenly 1d4 people nearby wish to assassinate the target, Target believes any injuries he has to be illusions
4906,Sulfurous mud oozes from target's clothes for 1d8 hours, Target believes any lie told by someone of the opposite sex
4907,Summoned creatures are at +2 ToHit the target, Target believes as literal truth the next sentence he hears
4908,Summoned creatures are Hasted in the target's presence, Target believes everyone else is insane
4909,Summoned creatures are invisible to the target, Target believes foes in the area are extensions of himself
4910,Summoned creatures are Slowed in the target's presence, Target believes he has been polymorphed
4911,Summoned creatures can make no sound in the target's presence, Target believes he has forgotten something but actually has not
4912,Summoned creatures covet the target's possessions, Target believes he has just spoken with his deity
4913,Summoned creatures ignore and are unaffected by the target, Target believes he has remembered something but really has not
4914,Summoned creatures ignore the target unless he attacks them, Target believes he is from a random Lower Outer Plane
4915,Summoned creatures ignore the target unless he has a weapon drawn, Target believes he is insane but is not
4916,Swords can't come within ten feet of the target for 1d4 rounds, Target believes he is on a random Lower Outer Plane
4917,Swords in target's presence drip with his blood, Target believes himself to be a doppleganger
4918,Swords pass harmlessly through the target's body for 1d4 turns, Target believes himself to be an illusion
4919,Target acquires a new language and refuses to speak any other, Target believes random ally or party member to be a deity
4920,Target acquires an exact copy of the caster's spellbook, Target believes random deity to be a party member or ally
4921,Target acquires scars to match any wounds he inflicts on others, Target believes the next lie he hears is irrefutable truth
4922,Target acts as though he doesn't really exist, Target believes the previous d20 days to be a dream
4923,Target acts as though he's the only person who really exists, Target bestows his alignment upon each creature he touches
4924,Target acts as though his fingers are readily replaceable , Target blacks out whenever he hears his name (1 round)
4925,Target acts as though his head and body are two separate beings, Target blames all his failures on the nearest paladin
4926,Target acts generally like a jerk toward his friends and allies, Target blames his failures on his upbringing
4927,Target acts like a child for 10d10 rounds, Target blasphemes the god of the nearest paladin
4928,Target acts like a horse for 1d4 turns, Target blasts a d10 yard radius crater in the ground
4929,Target adds 1d4 to each attribute score for 2d12 hours, Target bleeds from the eyes whenever he casts a spell
4930,Target affects an air of ostentatious wealth even if he's poor, Target bleeds harmlessly from his nose for 1d12 hours
4931,Target ages 1d10 years per day for the next 1d4 weeks, Target Blinks (as spell) 1 round for each HP of damage he takes
4932,Target ages 1d1000 years; if he lives: he's not subject to aging, Target Blinks (as spell) whenever he blinks his eyes
4933,Target ages 1d4 years each time he says his name, Target Blinks while awake for the rest of his life
4934,Target ages 1d4 years each time he's cut by a claw or fang, Target body (except head: hands: and feet) becomes invisible
4935,Target ages 1d4 years each time he's cut by a metal blade, Target brays like a donkey in the presence of royalty
4936,Target ages 1d4 years each time his weapon injures someone, Target brays like a donkey instead of laughing
4937,Target ages at 2X normal rate unless he has a coin in his mouth, Target breaks into song whenever he is frightened
4938,Target ages at 2X normal rate while not in direct sunlight, Target breaks into song whenever struck by magic
4939,Target ages one year for each hit point of fire damage he suffers, Target burned for 2d10 HP by next creature he touches
4940,Target ages one year per round spent in the caster's presence, Target burns next creature he touches for d10 HP
4941,Target ages plus or minus 1d10 years each hour, Target bursts into heatless flame for d10 rounds
4942,Target always attacks the foe he's least likely to defeat, Target bursts into illusionary flame whenever he hears his name
4943,Target always fails to consider the consequences, Target bursts into tears when he tries to tell a lie
4944,Target always knows the location of the nearest giraffe, Target cackles like a Bone Golem for d4 rounds; no other action
4945,Target and his possessions are stripped of any enchantments, Target can Affect Normal Fires at will for d10 days
4946,Target and nearest zombie are chained together nearby, Target can always sense the direction of his home
4947,Target and nearest zombie are often mistaken for each other, Target can appear enormously fat at will
4948,Target and nearest zombie exchange bodies, Target can appear to be 100 years older at will
4949,Target and nearest zombie form an unholy alliance, Target can appear to be any age he wishes
4950,Target and the nearest horse exchange bodies, Target can assume a second form at will (must be of same race)
4951,Target and the nearest horse exchange clothing, Target can assume gaseous form at will when naked
4952,Target and the next person he attacks are invisible to each other, Target can assume the form of the caster for 1 turn each day
4953,Target and the next person he attacks are soaked with icy brine, Target can attack 2X a round if he does nothing the next round
4954,Target and the next person he attacks both shrink by 5d10%, Target can automatically read the next language he hears
4955,Target and the next person he attacks each lose 2d8 hit points, Target can automatically speak the next language he hears
4956,Target and the next person he attacks fall unconscious until dawn, Target can automatically speak the next language he reads
4957,Target and the next person he attacks freeze solid, Target can be commanded by the next creature he summons
4958,Target and the next person he attacks teleport 1d4 miles away, Target can be Commanded by the next person he touches
4959,Target and the next person he attacks vanish for 10d10 rounds, Target can become completely clean at will
4960,Target appears to be 1d100 years older than he really is, Target can become ethereal at will when naked
4961,Target appears to be 1d20 inches taller than he really is, Target can breathe underwater if he holds a fish in his mouth
4962,Target appears to be a hideous corpse until dawn tomorrow, Target can carry his own weight with ease
4963,Target appears to be far more menacing than he really is, Target can cast 1 spell per day with no Saving Throw allowed
4964,Target appears to be in the middle of a terrible rainstorm, Target can cast a randomly-chosen first level spell at will
4965,Target appears to be made of chocolate until dawn tomorrow, Target can cast light from his eyes but is blind when he does
4966,Target appears to be soaked in his own blood until dawn tomorrow, Target can cast Reverse Gravity on himself once each day
4967,Target appears to be wearing a cloak of shimmering fire, Target can cause his scent to mimic that of any normal animal
4968,Target appears to have been assembled out of bamboo, Target can change his eye color at will
4969,Target appears to have been burned beyond recognition, Target can choose to succeed any one roll in the next 24 hours
4970,Target appears to have been turned inside-out and then restored, Target can climb trees as nimbly as a cat or monkey
4971,Target asserts that a great catastrophe is about to occur, Target can command demons: doesnâ€™t know how many times (1d6)
4972,Target asserts that a nearby ally is really an illusion, Target can Command the caster: as by the spell
4973,Target asserts that a nearby ally is trying to Charm him, Target can communicate with inanimate objects once per week
4974,Target asserts that a vast conspiracy is out to get him, Target can Comprehend all spoken languages for d10 days
4975,Target asserts that all contracts are null and void, Target can Comprehend all written languages for d8 days
4976,Target asserts that all gold within 10 miles is counterfeit, Target can control the next Illusion he disbelieves
4977,Target asserts that anyone who bleeds in his presence is a coward, Target can crush diamonds into coal with his bare hands
4978,Target asserts that anyone who drinks his blood will live forever, Target can detach his right arm at will
4979,Target asserts that dangerous organisms live within his flesh, Target can detect poison in food just by touching it
4980,Target asserts that death no longer has any power over him, Target can disbelieve Necromancy but canâ€™t disbelieve Illusions
4981,Target asserts that fire-based magic has no effect upon him, Target can disbelieve spells cast against him like illusions
4982,Target asserts that he and the caster have been allies for years, Target can Dispel Evil (or Good) once at will
4983,Target asserts that he can command undead, Target can employ True Sight once per day
4984,Target asserts that he can cure disease and cast out demons, Target can extend his tongue 3d4 inches at will
4985,Target asserts that he can divine the future: for the right price, Target can Feather Fall at will when naked
4986,Target asserts that he can identify poisons by tasting them, Target can Feign Death at will when naked
4987,Target asserts that he can issue divine edicts, Target can fly at normal Movement Rate but can no longer walk
4988,Target asserts that he can place powerful curses on people, Target can fly like an eagle when naked
4989,Target asserts that he can produce pearls if he eats sand, Target can give off the scent of pine or lemons at will
4990,Target asserts that he can summon Earth Elementals by eating dirt, Target can glow like a firefly at will
4991,Target asserts that he can summon ghosts and phantoms at will, Target can go without food for one day per point of CON
4992,Target asserts that he can take the shape of a doppelganger, Target can go without sleep for one day per point of WIS
4993,Target asserts that he can talk to Air Elementals at will, Target can grip with 18/00 strength
4994,Target asserts that he can throw lightning bolts at will, Target can Heal himself once
4995,Target asserts that he can travel between planes at will, Target can Heal with a touch but is 80% likely to die
4996,Target asserts that he can travel freely through time, Target can hear any conversation whose participants he can see
4997,Target asserts that he can turn diamonds into coal by eating them, Target can hear underwater as clearly as on land
4998,Target asserts that he died 1d4 rounds ago, Target can hit creatures hit only by +1 or better (1d20 rounds)
4999,Target asserts that he died 1d4 years ago, Target can hold his breath for 2 rounds per point of CON
5000,Target asserts that he has a key that unlocks his skull, Target can hold his breath for up to three hours per day
5001,Target asserts that he has any number of non-verifiable maladies, Target can identify gems and approximate their value on sight
5002,Target asserts that he has only 1d4 hours to live, Target can identify natural animals on sight
5003,Target asserts that he has the power to bestow godhood, Target can identify natural plants on sight
5004,Target asserts that he has the power to create and destroy souls, Target can ignite campfires and hearths with a touch
5005,Target asserts that he heals quickly and has a metal skeleton, Target can ignite twigs with his tongue
5006,Target asserts that he intends to raze the nearest city, Target can kill with a touch but is 80% likely to die as well
5007,Target asserts that he is descended from mighty kings, Target can make his voice issue from some place nearby
5008,Target asserts that he is the caster's father, Target can make spells function without visible effect
5009,Target asserts that he knows exactly who is destined to kill him, Target can memorize spells in Â½ the normal required time
5010,Target asserts that he knows the location of a secret holy book, Target can mimic animal noises with remarkable skill
5011,Target asserts that he knows the location of a vast treasure, Target can move at 3X normal speed if naked and unencumbered
5012,Target asserts that he knows when: where: and how he'll die, Target can no longer bend his wrists
5013,Target asserts that he must choose which of his allies must die, Target can no longer see First Level spells
5014,Target asserts that he was bitten by a werewolf one month ago, Target can only be hit by +1 or better weapons for d20 rounds
5015,Target asserts that he will become omnipotent upon death, Target can only wield +1 or better weapons for d20 rounds
5016,Target asserts that he will go insane unless he eats 1d4 apples, Target can pass his arms through each other at will
5017,Target asserts that he worked as a torturer for the king, Target can Pass Without Trace as priest spell once per week
5018,Target asserts that he'll combust if anyone says his name, Target can photosynthesize; does not need to eat: but is green
5019,Target asserts that he'll combust if he draws his weapon too fast, Target can Polymorph Self(ONCE)
5020,Target asserts that he'll combust if he gets wet, Target can predict natural weather patterns 24 hours in advance
5021,Target asserts that he'll combust if he reads a map, Target can quench his thirst by soaking his feet
5022,Target asserts that he'll combust if he's outdoors at sunset, Target can read a new language but cannot speak it
5023,Target asserts that he'll combust if his blood is spilled, Target can read other peopleâ€™s thoughts by biting them
5024,Target asserts that he'll die before he sees another winter, Target can remove his ears and still hear through them
5025,Target asserts that he'll die during the next rainstorm, Target can remove his head for up to 1d6 rounds each day
5026,Target asserts that he'll die if anyone harms the caster, Target can remove his teeth: and theyâ€™ll regrow normally
5027,Target asserts that he'll die if anyone nearby dies violently, Target can Resurrect one being but must sacrifice his own life
5028,Target asserts that he'll die if anyone nearby is related to him, Target can resurrect the dead once per year
5029,Target asserts that he'll die if anyone nearby speaks his name, Target can retract his arms into his torso
5030,Target asserts that he'll die if anyone nearby uses magic, Target can retract his head into his torso like a turtle
5031,Target asserts that he'll die if he changes or cleans his clothes, Target can see in subterranean darkness as though in daylight
5032,Target asserts that he'll die if he closes his eyes or blinks, Target can see into Bags of Holding without opening them
5033,Target asserts that he'll die if he crosses moving water, Target can see perfectly well in absolute darkness
5034,Target asserts that he'll die if he doesn't receive a pony, Target can see secret doors but cannot see normal ones
5035,Target asserts that he'll die if he draws a weapon in anger, Target can see through his nostrils in pitch darkness
5036,Target asserts that he'll die if he draws/sheathes his weapon, Target can sense the presence of any Artifact within 10 miles
5037,Target asserts that he'll die if he eats during the next 4d6 days, Target can sense undead within 100 yards
5038,Target asserts that he'll die if he fires any missile weapon, Target can shine light out of his mouth at will
5039,Target asserts that he'll die if he opens his eyes, Target can shrink his hands to 1/10 their size at will
5040,Target asserts that he'll die if he sees a rainbow, Target can speak in either a male or female voice at will
5041,Target asserts that he'll die if he sees his own blood, Target can speak in either of two voices at will
5042,Target asserts that he'll die if he speaks his native language, Target can speak through his nose when his mouth is shut
5043,Target asserts that he'll die if he spends any money, Target can speak with plants once per day
5044,Target asserts that he'll die if he stops dancing, Target can speak with plants once per week
5045,Target asserts that he'll die if he stops talking, Target can speak with the dead once per week
5046,Target asserts that he'll die if he touches anyone else's blood, Target can speak with waterfowl when he is wet
5047,Target asserts that he'll die if he touches gold, Target can Spider Climb if he wears a red and blue costume
5048,Target asserts that he'll die if he touches ice, Target can stretch his neck a length equal to his height
5049,Target asserts that he'll die if he touches metal, Target can summon a demon but has only 50% chance to control it
5050,Target asserts that he'll die if he uses any magic items, Target can swim like a fish and breathe underwater when naked
5051,"Target asserts that he'll die if he uses the word ""the""", Target can teleport at will: but arrives at current location
5052,Target asserts that he'll die if he's cut by a magical blade, Target can turn half of his body invisible at will
5053,Target asserts that he'll die if someone tells him to die, Target can turn his bones to jelly at will: without harm
5054,Target asserts that he'll die in 1d4 rounds , Target can turn his fingers ethereal at will
5055,Target asserts that he'll die of biliousness, Target can turn his skin invisible at will
5056,Target asserts that he'll die the next time he eats, Target can turn his skin matte-black at will
5057,Target asserts that he'll die the next time he receives first aid, Target can turn ice to diamonds that last for 1d12 hours
5058,Target asserts that he'll die the next time he sleeps, Target can turn into a statue for 1d10 rounds at will
5059,Target asserts that he'll die unless he burns all of his clothing, Target can turn invisible while he holds his breath
5060,Target asserts that he'll die unless he cuts his own throat, Target can turn invisible while underwater
5061,Target asserts that he'll die unless he cuts off his own hand, Target can turn to snow at will
5062,Target asserts that he'll die unless he destroys his magic items, Target can undo normal knots just by touching them
5063,Target asserts that he'll die unless he destroys his weapon, Target can unscrew his fingers without harm
5064,Target asserts that he'll die unless he drains all of his blood, Target can use his index and middle finger like scissors
5065,Target asserts that he'll die unless he drinks strong poison, Target can Wish the death of one being but will also die
5066,Target asserts that he'll die unless he eats a special mushroom, Target canâ€™t bend his elbows: shoulders: wrists: or fingers
5067,Target asserts that he'll die unless he kills the caster, Target canâ€™t bring his hands within 2d4 inches of each other
5068,Target asserts that he'll die unless he receives 500 gold pieces, Target canâ€™t discern even the most obvious lies from truth
5069,Target asserts that he'll die unless he receives 500 gold pieces, Target canâ€™t go to sleep without kissing someone goodnight
5070,Target asserts that he'll die unless he stays awake for 2d6 weeks, Target canâ€™t put both feet on the ground simultaneously
5071,Target asserts that he'll die unless he swallows a magic ring, Target canâ€™t raise his arms above his shoulder without pain
5072,Target asserts that he'll die unless he takes a vow of pacifism, Target canâ€™t speak if more than two people are present
5073,Target asserts that he'll die unless his demands are met, Target canâ€™t speak in metaphor; becomes literal-minded
5074,Target asserts that he'll die unless someone beheads him, Target cannot attack creatures which do not see him
5075,Target asserts that he'll die unless the caster kills himself, Target cannot attack except on rounds when he wins Initiative
5076,Target asserts that he'll die when the caster casts another spell, Target cannot attack on rounds when he wins Initiative
5077,Target asserts that he'll drown in a picture of a lake, Target cannot be affected by priestly magic for 1 week
5078,Target asserts that he'll drown in a small puddle nearby, Target cannot be attacked by any he does not see for 1d4 days
5079,Target asserts that he'll explode if anyone eats food near him, Target cannot be burned by normal flame if his feet are wet
5080,Target asserts that he'll go mad if anyone touches him, Target cannot be frightened by any earthly creature
5081,Target asserts that he'll turn into a werewolf if he eats meat, Target cannot be harmed by a fall from any height
5082,Target asserts that he'll turn to diamond when slain, Target cannot be harmed by any physical means for d10 rounds
5083,Target asserts that he'll vanish forever if he falls asleep, Target cannot be harmed by any physical means for d4 rounds
5084,Target asserts that he'll vanish forever if he leaves this area, Target cannot be harmed by any physical means for d6 rounds
5085,Target asserts that he'll vanish into the ground at dawn tomorrow, Target cannot be harmed by any physical means for d8 rounds
